gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group D,bachelor's degree,free/reduced,none,66,79,80
female,group B,some college,standard,none,94,86,90
male,group B,high school,standard,none,75,76,67
female,group A,some college,standard,none,80,85,84
male,group C,associate's degree,standard,completed,100,100,95
male,group A,master's degree,standard,none,80,81,74
male,group B,high school,standard,none,54,50,42
female,group C,high school,standard,none,61,56,62
male,group D,some high school,standard,none,61,56,51
male,group A,master's degree,free/reduced,completed,42,44,42
female,group B,some college,standard,none,78,75,77
male,group E,high school,standard,none,90,81,80
female,group A,some college,free/reduced,completed,71,85,86
male,group B,some college,standard,none,42,42,43
male,group B,some college,standard,none,67,64,55
female,group C,high school,standard,none,61,78,72
male,group C,associate's degree,standard,none,59,70,63
female,group E,bachelor's degree,standard,none,80,76,78
female,group C,high school,standard,completed,50,54,60
male,group D,master's degree,standard,none,64,51,55
male,group D,master's degree,standard,none,85,85,78
female,group C,some college,standard,completed,80,77,78
male,group C,some high school,free/reduced,none,50,45,40
female,group B,some college,free/reduced,none,39,61,54
male,group C,bachelor's degree,standard,none,93,78,82
female,group C,high school,standard,completed,69,72,77
male,group C,some high school,standard,none,64,67,54
female,group C,master's degree,free/reduced,none,48,60,58
female,group D,some high school,free/reduced,none,56,71,67
female,group C,associate's degree,free/reduced,none,56,65,60
female,group E,some college,standard,none,49,58,57
male,group C,bachelor's degree,free/reduced,none,65,61,56
male,group B,high school,standard,none,78,71,67
female,group A,some college,free/reduced,none,50,58,63
female,group D,some high school,standard,none,62,67,66
male,group C,some high school,standard,none,65,68,65
male,group B,associate's degree,standard,none,85,72,72
male,group B,some high school,standard,none,81,81,70
female,group A,some college,free/reduced,none,47,66,69
female,group D,bachelor's degree,standard,none,54,54,58
male,group C,high school,standard,completed,73,64,65
female,group C,high school,free/reduced,none,26,54,45
female,group E,high school,standard,completed,57,64,62
female,group C,some high school,free/reduced,completed,53,55,59
female,group B,bachelor's degree,standard,none,48,62,60
male,group C,associate's degree,free/reduced,none,63,67,62
male,group D,associate's degree,standard,completed,75,70,76
male,group B,high school,standard,none,66,62,55
male,group C,some high school,standard,completed,81,75,78
female,group E,high school,free/reduced,none,40,50,47
male,group C,some high school,free/reduced,none,44,52,48
female,group C,master's degree,standard,completed,73,88,92
female,group E,some college,standard,completed,66,72,71
male,group D,associate's degree,standard,none,78,67,66
female,group D,high school,standard,completed,76,83,84
male,group C,some high school,standard,completed,70,70,70
female,group C,high school,standard,none,68,83,79
female,group E,associate's degree,standard,none,69,79,78
female,group D,high school,free/reduced,none,63,72,73
male,group B,some college,free/reduced,none,68,63,62
male,group D,some college,standard,none,82,64,68
male,group C,high school,standard,completed,65,56,59
male,group E,bachelor's degree,free/reduced,completed,59,71,69
female,group B,associate's degree,standard,none,69,89,82
female,group B,associate's degree,free/reduced,none,60,71,66
male,group C,associate's degree,standard,none,67,63,59
female,group D,some college,free/reduced,completed,54,65,66
female,group D,some high school,standard,completed,66,71,76
female,group C,associate's degree,standard,completed,84,97,94
male,group C,some high school,standard,completed,49,41,37
male,group B,some college,standard,none,78,72,70
male,group D,associate's degree,free/reduced,completed,59,59,61
male,group A,some college,standard,completed,73,67,70
male,group A,some high school,standard,completed,75,65,67
female,group C,some college,free/reduced,completed,61,70,71
male,group D,high school,standard,none,74,64,64
female,group D,high school,standard,none,91,86,91
male,group D,bachelor's degree,standard,completed,88,95,100
female,group A,associate's degree,free/reduced,completed,64,71,70
female,group E,associate's degree,standard,none,59,58,54
male,group C,master's degree,standard,none,74,84,79
male,group B,master's degree,standard,none,63,74,69
male,group A,some high school,standard,completed,43,49,44
female,group B,some high school,standard,none,56,56,67
male,group C,some college,free/reduced,none,70,61,57
male,group B,high school,free/reduced,completed,48,54,48
female,group B,some high school,free/reduced,none,44,64,57
male,group C,associate's degree,free/reduced,completed,67,70,64
male,group C,some college,standard,none,84,84,85
male,group C,some college,free/reduced,completed,81,83,77
male,group E,some college,standard,none,84,78,70
male,group D,high school,standard,none,68,69,62
male,group B,some college,standard,none,59,57,55
male,group D,high school,free/reduced,none,42,42,30
male,group A,some college,standard,completed,87,82,83
male,group E,some college,standard,none,86,72,67
female,group C,master's degree,free/reduced,completed,60,81,84
female,group B,master's degree,standard,completed,96,100,100
male,group C,master's degree,standard,none,63,53,59
female,group C,some high school,standard,completed,80,81,85
male,group D,some college,standard,none,96,88,88
female,group B,high school,free/reduced,completed,63,69,76
female,group B,associate's degree,standard,completed,86,96,95
male,group B,associate's degree,standard,completed,79,79,77
female,group B,high school,free/reduced,none,56,59,62
female,group B,associate's degree,free/reduced,completed,46,74,70
female,group C,some high school,standard,none,62,71,68
female,group D,bachelor's degree,standard,none,81,87,90
male,group C,high school,free/reduced,completed,66,61,65
female,group B,some high school,standard,completed,58,76,71
male,group D,high school,free/reduced,completed,59,65,66
male,group E,some high school,standard,none,67,55,43
male,group D,bachelor's degree,free/reduced,none,65,68,71
female,group C,some college,free/reduced,completed,45,65,68
female,group D,associate's degree,free/reduced,none,74,89,95
female,group B,some college,free/reduced,completed,78,84,94
female,group D,associate's degree,free/reduced,none,52,62,56
male,group E,associate's degree,standard,completed,90,71,73
male,group D,associate's degree,standard,none,69,63,63
female,group C,some college,standard,none,67,85,84
female,group A,associate's degree,free/reduced,none,67,87,76
male,group D,master's degree,free/reduced,none,86,75,81
female,group B,some college,free/reduced,completed,54,71,69
female,group E,high school,standard,completed,69,77,76
male,group C,some high school,free/reduced,none,50,51,46
male,group D,high school,standard,completed,64,60,65
male,group E,bachelor's degree,standard,completed,85,83,81
female,group B,high school,standard,completed,39,49,53
female,group D,some high school,standard,completed,66,69,76
male,group E,associate's degree,standard,none,67,62,60
female,group D,associate's degree,standard,completed,64,75,77
female,group C,high school,standard,none,78,91,87
male,group C,associate's degree,standard,none,91,87,77
male,group E,some high school,standard,completed,49,49,46
male,group E,bachelor's degree,free/reduced,none,75,65,58
female,group D,some college,standard,none,70,82,81
female,group A,associate's degree,free/reduced,none,77,80,75
female,group D,high school,standard,none,63,74,72
male,group B,associate's degree,standard,none,58,49,49
female,group D,master's degree,free/reduced,none,50,59,65
male,group B,high school,standard,none,64,63,55
female,group B,some college,free/reduced,none,48,64,60
female,group D,bachelor's degree,free/reduced,none,56,66,61
male,group B,associate's degree,standard,completed,92,90,91
male,group C,associate's degree,standard,completed,54,57,56
male,group D,some high school,free/reduced,completed,66,55,66
female,group E,some college,free/reduced,none,44,55,52
female,group D,bachelor's degree,standard,none,53,62,61
male,group D,high school,standard,none,43,36,41
male,group D,associate's degree,standard,completed,81,77,75
female,group D,some college,standard,completed,59,70,76
male,group E,some college,standard,completed,88,80,80
female,group B,high school,free/reduced,none,58,59,58
female,group A,associate's degree,standard,none,68,82,83
male,group D,some college,free/reduced,none,70,60,61
female,group D,some college,standard,none,27,32,37
male,group D,high school,standard,none,74,67,67
male,group E,high school,standard,none,77,66,60
male,group D,some high school,standard,completed,96,93,88
male,group D,high school,free/reduced,none,37,40,40
female,group B,some college,free/reduced,none,45,59,58
female,group E,associate's degree,standard,none,73,80,71
male,group C,some high school,standard,none,45,43,39
male,group E,some college,free/reduced,none,92,84,75
male,group B,high school,standard,completed,68,64,66
female,group B,high school,standard,completed,70,81,80
male,group D,some college,standard,none,87,84,86
male,group A,associate's degree,free/reduced,completed,41,53,47
male,group C,associate's degree,standard,none,83,77,78
female,group D,some college,standard,completed,61,66,69
male,group D,some college,free/reduced,completed,60,62,65
female,group D,some high school,free/reduced,none,51,57,61
female,group D,some high school,free/reduced,none,44,45,42
male,group E,bachelor's degree,free/reduced,none,70,74,63
female,group D,master's degree,free/reduced,completed,88,97,100
female,group D,bachelor's degree,free/reduced,none,44,55,62
male,group C,some high school,standard,none,95,84,78
female,group C,master's degree,standard,none,69,78,78
female,group C,associate's degree,standard,completed,75,82,82
female,group B,bachelor's degree,free/reduced,none,47,61,56
female,group C,some college,free/reduced,completed,59,83,80
female,group C,some high school,free/reduced,none,60,71,69
female,group C,bachelor's degree,standard,completed,64,79,81
male,group C,high school,free/reduced,completed,46,47,49
male,group D,associate's degree,standard,none,70,60,66
male,group D,associate's degree,standard,none,89,82,79
male,group C,associate's degree,free/reduced,none,74,73,69
female,group A,associate's degree,standard,completed,77,83,82
male,group C,some high school,standard,none,65,53,51
female,group B,some college,standard,completed,64,73,76
male,group D,associate's degree,standard,none,78,72,70
female,group D,some high school,standard,completed,73,81,83
male,group C,associate's degree,free/reduced,completed,75,82,84
female,group D,some high school,standard,none,52,68,65
male,group D,bachelor's degree,free/reduced,none,42,38,30
male,group D,bachelor's degree,free/reduced,none,86,87,79
female,group C,high school,free/reduced,completed,56,71,70
female,group C,some high school,free/reduced,completed,42,60,55
female,group B,some high school,standard,none,55,67,64
male,group C,high school,standard,none,77,74,71
female,group B,bachelor's degree,standard,completed,87,84,93
female,group C,bachelor's degree,free/reduced,completed,63,72,72
female,group C,some college,standard,completed,73,83,78
female,group C,some college,standard,none,67,76,78
female,group E,high school,standard,none,60,56,63
female,group C,bachelor's degree,standard,completed,73,80,87
female,group C,some college,standard,none,51,58,64
male,group B,high school,standard,completed,85,82,80
female,group D,high school,standard,none,86,100,100
female,group B,some college,free/reduced,none,82,78,77
female,group C,some college,standard,completed,70,77,82
male,group C,some high school,standard,completed,64,71,70
female,group C,high school,standard,none,64,80,82
male,group B,associate's degree,free/reduced,none,45,35,34
female,group C,bachelor's degree,free/reduced,none,41,54,50
female,group D,some college,standard,none,73,83,88
female,group B,associate's degree,free/reduced,completed,59,54,65
male,group D,some high school,standard,completed,58,60,61
female,group B,bachelor's degree,standard,none,59,72,73
female,group E,bachelor's degree,standard,none,68,73,70
male,group D,some high school,free/reduced,none,69,77,72
female,group C,some high school,free/reduced,none,43,53,51
male,group D,high school,free/reduced,completed,43,38,33
female,group A,associate's degree,free/reduced,none,68,85,79
male,group D,some college,standard,completed,78,76,81
female,group B,some high school,free/reduced,none,45,76,69
female,group E,some college,standard,completed,73,77,81
female,group C,high school,free/reduced,none,53,53,61
male,group E,bachelor's degree,standard,none,94,83,83
female,group C,bachelor's degree,free/reduced,completed,75,85,90
female,group C,some high school,standard,none,57,65,68
female,group E,high school,standard,completed,81,86,86
female,group D,associate's degree,standard,completed,97,96,100
female,group B,some college,standard,none,87,85,90
female,group E,some high school,standard,none,60,61,56
male,group C,some college,standard,none,62,70,63
male,group D,master's degree,standard,none,52,49,44
male,group E,associate's degree,free/reduced,none,46,44,42
female,group B,high school,standard,completed,65,85,76
female,group E,some college,standard,none,69,79,70
male,group D,some high school,free/reduced,none,51,55,53
male,group D,associate's degree,standard,completed,77,63,66
male,group D,some high school,standard,none,68,58,54
female,group C,bachelor's degree,standard,none,78,88,79
male,group A,associate's degree,standard,completed,75,79,80
male,group D,bachelor's degree,standard,completed,83,82,88
female,group D,associate's degree,free/reduced,completed,72,83,84
female,group C,some college,standard,none,66,75,68
female,group C,associate's degree,standard,none,60,81,81
female,group E,some college,free/reduced,none,79,87,85
male,group D,some high school,standard,completed,100,90,85
male,group C,associate's degree,standard,none,78,76,73
female,group D,associate's degree,standard,none,87,84,92
male,group C,some college,standard,none,77,70,67
female,group B,high school,free/reduced,completed,8,32,28
male,group B,associate's degree,standard,none,88,73,69
male,group C,associate's degree,standard,none,85,78,73
male,group C,some high school,standard,completed,73,80,81
male,group D,some college,free/reduced,completed,42,39,41
female,group C,associate's degree,standard,none,67,73,77
female,group C,some high school,standard,none,59,70,63
female,group E,some high school,standard,completed,74,83,83
male,group D,some high school,free/reduced,none,69,74,68
female,group D,bachelor's degree,standard,completed,80,90,97
male,group B,some college,standard,completed,88,79,76
male,group C,some high school,standard,completed,65,64,62
female,group D,high school,free/reduced,none,66,82,74
male,group E,some college,standard,completed,83,83,79
male,group C,bachelor's degree,standard,none,71,66,66
male,group C,some high school,standard,completed,70,76,73
female,group C,high school,standard,completed,63,71,68
female,group C,associate's degree,free/reduced,none,57,67,68
male,group D,associate's degree,free/reduced,completed,88,85,84
female,group C,associate's degree,standard,none,57,60,61
female,group C,some high school,standard,none,41,54,49
male,group B,master's degree,standard,completed,85,86,84
female,group C,some high school,standard,none,58,65,63
female,group E,associate's degree,free/reduced,none,73,88,85
female,group B,bachelor's degree,standard,completed,60,72,72
female,group D,bachelor's degree,standard,none,67,75,76
male,group B,high school,standard,none,65,56,52
female,group C,some college,free/reduced,completed,69,77,81
male,group D,bachelor's degree,standard,none,83,77,78
female,group A,associate's degree,free/reduced,completed,58,72,72
female,group D,high school,standard,completed,76,88,90
male,group C,associate's degree,free/reduced,none,45,54,48
male,group E,high school,standard,none,86,68,68
male,group D,bachelor's degree,free/reduced,completed,51,50,54
female,group C,some high school,standard,completed,48,61,62
female,group B,some college,free/reduced,completed,49,56,60
female,group E,some college,standard,none,98,99,94
female,group C,some college,standard,none,49,69,65
female,group C,master's degree,standard,none,68,84,87
female,group C,bachelor's degree,free/reduced,none,23,47,41
female,group D,some college,standard,none,66,79,81
male,group C,high school,standard,none,67,55,59
female,group C,high school,free/reduced,none,31,48,38
female,group C,some high school,free/reduced,completed,60,79,76
female,group C,some college,standard,completed,52,67,64
female,group C,some college,free/reduced,none,55,62,59
male,group C,associate's degree,standard,completed,76,72,71
male,group D,some high school,standard,completed,60,60,62
male,group D,master's degree,free/reduced,none,85,85,85
male,group B,master's degree,free/reduced,none,60,55,50
male,group B,bachelor's degree,standard,none,76,71,70
male,group B,master's degree,standard,none,72,61,54
male,group B,high school,standard,completed,41,32,29
female,group B,bachelor's degree,free/reduced,completed,47,58,63
female,group B,some college,free/reduced,none,49,68,65
male,group C,some college,standard,none,60,48,45
male,group D,some college,standard,none,72,64,66
female,group B,some college,standard,none,73,78,73
female,group C,associate's degree,standard,none,27,45,44
male,group D,some college,free/reduced,completed,87,86,85
male,group C,some high school,standard,none,67,53,55
female,group B,some high school,free/reduced,completed,53,80,81
female,group E,high school,standard,none,63,69,68
female,group B,some high school,standard,completed,51,62,65
male,group D,high school,standard,completed,75,74,75
female,group C,master's degree,standard,completed,72,75,82
female,group B,some college,standard,completed,57,75,78
male,group C,high school,free/reduced,none,44,48,44
female,group E,bachelor's degree,standard,none,75,80,80
male,group A,some college,free/reduced,none,52,45,41
male,group A,high school,standard,none,74,70,63
male,group B,bachelor's degree,free/reduced,completed,65,67,68
female,group D,high school,free/reduced,none,74,86,89
female,group C,some college,standard,none,68,77,74
male,group C,associate's degree,standard,none,75,75,74
female,group C,master's degree,free/reduced,completed,45,64,67
male,group D,master's degree,standard,none,88,78,80
male,group D,some high school,free/reduced,none,60,46,47
male,group C,some college,standard,completed,40,44,43
male,group B,some college,standard,none,80,82,76
female,group B,some high school,free/reduced,completed,62,79,71
female,group C,high school,standard,none,68,75,74
male,group E,associate's degree,free/reduced,none,62,52,53
female,group E,some college,free/reduced,none,66,69,70
female,group D,some high school,standard,completed,83,89,96
female,group D,some high school,standard,none,83,86,87
female,group A,associate's degree,standard,none,67,66,73
male,group D,some high school,standard,none,72,60,62
female,group C,some college,standard,none,61,77,73
female,group E,high school,standard,none,64,60,60
male,group B,some college,free/reduced,completed,58,56,55
male,group C,some high school,standard,none,60,56,48
male,group B,some college,standard,none,58,57,58
female,group D,bachelor's degree,standard,none,57,73,72
male,group B,some high school,standard,completed,75,76,77
male,group D,associate's degree,standard,none,55,60,59
female,group E,high school,standard,none,78,74,75
female,group C,bachelor's degree,standard,completed,90,98,100
female,group D,high school,standard,none,63,66,74
male,group D,associate's degree,standard,none,72,66,64
female,group D,some high school,free/reduced,completed,72,91,94
male,group E,bachelor's degree,free/reduced,none,67,63,64
male,group B,associate's degree,standard,completed,78,70,78
male,group B,some high school,standard,none,65,61,52
female,group D,some college,standard,none,61,62,58
male,group E,some college,free/reduced,none,84,73,61
female,group E,associate's degree,standard,none,63,64,71
female,group C,associate's degree,free/reduced,completed,53,56,60
female,group C,bachelor's degree,standard,none,74,82,85
female,group E,master's degree,free/reduced,none,77,75,78
male,group C,some high school,standard,none,51,54,51
male,group D,bachelor's degree,standard,none,67,58,55
female,group B,high school,free/reduced,none,48,62,65
male,group C,some college,standard,none,67,64,65
male,group B,master's degree,standard,completed,83,80,75
female,group E,associate's degree,free/reduced,none,57,64,61
female,group B,some high school,standard,completed,65,80,74
female,group D,some high school,standard,completed,94,100,100
male,group D,associate's degree,standard,completed,89,81,83
female,group C,high school,free/reduced,none,52,57,55
female,group E,high school,standard,completed,66,72,75
male,group B,some high school,free/reduced,none,34,43,36
male,group A,high school,standard,completed,61,61,63
male,group D,associate's degree,free/reduced,completed,54,60,62
male,group D,associate's degree,free/reduced,none,65,70,66
female,group D,associate's degree,standard,none,53,54,58
female,group D,master's degree,standard,none,85,92,99
female,group B,some high school,free/reduced,none,43,41,44
male,group B,some high school,free/reduced,none,33,27,25
female,group C,some college,free/reduced,none,43,53,49
female,group D,master's degree,standard,none,69,74,78
male,group C,some college,free/reduced,none,59,59,49
male,group B,some high school,standard,none,74,76,71
female,group B,some college,free/reduced,none,45,58,51
female,group C,some high school,standard,none,83,96,86
male,group E,some high school,free/reduced,none,62,54,45
male,group B,some college,standard,none,67,55,54
female,group C,some high school,free/reduced,none,28,53,46
female,group C,some college,free/reduced,none,59,58,59
male,group A,some high school,standard,none,86,69,65
female,group B,some high school,standard,none,41,52,53
male,group D,high school,free/reduced,none,54,55,58
female,group C,associate's degree,standard,none,65,81,82
male,group C,some high school,standard,none,61,60,57
female,group B,some college,standard,none,75,75,73
male,group A,bachelor's degree,free/reduced,completed,71,71,71
female,group E,master's degree,free/reduced,none,83,88,87
male,group D,some high school,standard,none,71,60,58
male,group A,some college,standard,completed,66,60,57
female,group D,some high school,standard,none,64,74,76
female,group A,some college,free/reduced,completed,63,63,64
female,group C,bachelor's degree,standard,completed,92,100,100
male,group C,high school,free/reduced,completed,49,47,45
male,group A,some college,free/reduced,none,52,44,46
female,group A,associate's degree,standard,none,57,73,67
female,group D,high school,standard,none,64,75,68
male,group E,some college,standard,none,66,58,52
female,group D,some high school,free/reduced,none,59,71,73
female,group D,some college,free/reduced,completed,75,87,84
male,group D,some college,standard,none,85,75,78
male,group D,some high school,standard,none,68,66,68
female,group A,associate's degree,standard,none,28,45,39
female,group C,some college,free/reduced,none,47,59,59
male,group C,high school,standard,completed,90,93,88
male,group B,associate's degree,free/reduced,none,74,76,69
female,group B,associate's degree,standard,completed,64,82,83
female,group E,some college,standard,completed,81,75,80
female,group C,high school,free/reduced,completed,48,65,64
female,group C,some college,free/reduced,none,70,79,82
male,group D,bachelor's degree,standard,completed,79,74,80
male,group C,associate's degree,free/reduced,completed,71,63,61
female,group E,high school,free/reduced,none,42,48,37
male,group C,associate's degree,free/reduced,completed,77,75,72
female,group C,some college,free/reduced,none,71,73,74
female,group B,high school,free/reduced,completed,71,86,88
male,group B,associate's degree,free/reduced,none,57,57,53
male,group C,high school,free/reduced,none,65,74,62
female,group C,master's degree,standard,none,72,84,82
female,group C,some college,standard,completed,52,65,64
male,group E,some high school,standard,none,71,58,60
female,group C,high school,free/reduced,none,47,57,51
male,group D,associate's degree,free/reduced,none,59,65,58
female,group A,high school,free/reduced,none,45,61,63
male,group C,some high school,standard,none,71,74,67
male,group B,high school,standard,none,62,59,57
female,group C,bachelor's degree,standard,completed,63,68,73
male,group D,some college,free/reduced,none,39,38,44
female,group C,bachelor's degree,standard,none,72,75,67
female,group D,associate's degree,standard,none,79,86,84
female,group C,some college,standard,none,72,83,84
male,group E,bachelor's degree,standard,none,70,68,61
female,group D,associate's degree,free/reduced,completed,81,83,87
female,group B,high school,standard,none,72,74,61
male,group B,high school,standard,none,73,61,63
male,group E,high school,free/reduced,none,74,56,55
female,group B,associate's degree,standard,completed,66,75,78
female,group D,some college,standard,completed,65,73,83
male,group C,some high school,standard,none,63,57,52
